time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
49427890,-0.699,0.166,0.525,-115.097,-230.947,-164.465
49427900,-0.537,0.123,0.483,-138.6,-247.257,-178.692
49427910,-0.411,0.042,0.465,-158.515,-245.297,-188.947
49427920,-0.35,-0.055,0.49,-173.127,-230.632,-191.852
49427920,-0.347,-0.181,0.512,-178.08,-210.962,-186.13
49427940,-0.422,-0.265,0.526,-167.282,-195.037,-174.825
49427940,-0.441,-0.322,0.589,-147.385,-190.085,-154.927
49427960,-0.396,-0.362,0.636,-126.507,-185.885,-130.987
49427960,-0.35,-0.349,0.704,-104.72,-176.26,-116.06
49427980,-0.366,-0.314,0.802,-88.322,-169.89,-106.61
49427980,-0.335,-0.355,0.856,-78.89,-174.51,-89.74
49428000,-0.258,-0.434,0.846,-67.725,-175,-72.642
49428000,-0.16,-0.458,0.876,-49.577,-170.17,-66.535
49428010,-0.144,-0.565,0.842,-22.207,-167.125,-57.295
49428020,-0.036,-0.355,0.979,5.565,-162.4,-48.3
49428030,0.053,-0.502,0.971,13.86,-151.882,-46.13
49428040,0.162,-0.414,1.035,22.522,-133.857,-32.06
49428050,0.231,-0.437,1.096,15.54,-113.61,-28.612
49428060,0.232,-0.418,1.117,10.902,-87.552,-25.847
49428070,0.195,-0.406,1.127,8.19,-61.652,-26.862
49428080,0.118,-0.426,1.147,1.347,-46.777,-21.805
49428090,0.014,-0.518,1.11,-6.055,-40.6,-24.64
49428100,0.001,-0.549,1.14,-5.11,-40.67,-42.192
49428110,0.015,-0.52,1.096,-6.44,-43.715,-58.922
49428120,-0.084,-0.595,1.054,-0.875,-58.782,-62.825
49428130,-0.145,-0.609,0.996,17.92,-78.75,-64.505
49428140,-0.105,-0.537,0.992,40.127,-101.797,-64.785
49428150,0.008,-0.45,0.98,54.845,-119.56,-63.402
49428160,0.109,-0.437,0.952,64.662,-126.297,-64.89
49428170,0.096,-0.434,0.907,75.092,-128.712,-64.942
49428180,0.015,-0.401,0.853,88.025,-135.45,-62.265
49428190,0.06,-0.349,0.852,101.57,-150.237,-59.955
49428200,0.281,-0.314,0.819,108.097,-156.432,-54.495
49428210,0.499,-0.269,0.82,109.515,-142.17,-47.792
49428220,0.587,-0.205,0.85,102.445,-112.035,-38.902
49428230,0.562,-0.171,0.86,87.255,-76.982,-25.62
49428240,0.538,-0.24,0.822,73.447,-42.122,-11.06
49428250,0.55,-0.22,0.842,69.562,-12.6,10.062
49428260,0.525,-0.182,0.844,61.582,12.792,38.43
49428260,0.508,-0.213,0.813,55.982,36.75,68.6
49428280,0.545,-0.277,0.777,57.347,64.662,99.89
49428280,0.571,-0.297,0.73,62.177,102.427,123.707
49428300,0.466,-0.271,0.737,68.845,146.072,138.372
49428300,0.285,-0.208,0.778,69.125,183.977,141.522
49428320,0.13,-0.131,0.828,58.625,209.247,131.88
49428320,-0.004,-0.082,0.882,39.287,217.507,116.987
49428330,-0.104,-0.066,0.915,15.575,209.3,100.8
49428340,-0.149,-0.069,0.94,-7.997,188.982,86.712
