#Format version: 1.0,,,,,,
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
37464780,-0.9,0.196,0.629,-3.605,16.345,-20.615
37464800,-0.922,0.185,0.621,-3.797,6.667,-19.635
37464800,-0.941,0.18,0.622,-2.87,-0.7,-18.252
37464820,-0.94,0.166,0.62,-2.082,-8.26,-16.537
37464820,-0.92,0.149,0.611,-1.715,-16.677,-15.015
37464830,-0.885,0.136,0.588,-2.065,-22.925,-13.702
37464840,-0.843,0.128,0.551,-3.045,-24.08,-12.057
37464850,-0.811,0.125,0.53,-3.955,-20.912,-10.272
37464860,-0.789,0.123,0.523,-5.582,-15.662,-8.995
37464870,-0.79,0.111,0.517,-7.98,-9.257,-8.277
37464880,-0.807,0.099,0.532,-10.325,-2.065,-8.627
37464890,-0.832,0.093,0.576,-11.9,2.817,-10.062
37464900,-0.842,0.085,0.61,-13.632,3.447,-12.285
37464910,-0.843,0.068,0.618,-13.632,0.787,-13.317
37464920,-0.826,0.053,0.618,-11.83,-2.222,-13.037
37464930,-0.795,0.042,0.616,-10.395,-4.952,-12.74
37464940,-0.769,0.037,0.602,-9.52,-6.667,-12.565
37464950,-0.758,0.036,0.588,-8.697,-5.845,-12.687
37464960,-0.746,0.042,0.569,-8.33,-1.26,-12.967
37464970,-0.752,0.049,0.569,-7.175,5.705,-12.915
37464980,-0.791,0.054,0.594,-5.512,12.705,-13.44
37464990,-0.839,0.064,0.607,-3.797,18.077,-14.577
37465000,-0.878,0.076,0.632,-1.557,21.945,-15.33
37465010,-0.901,0.079,0.657,0.437,22.645,-16.047
37465020,-0.902,0.082,0.65,1.732,20.947,-16.327
37465030,-0.885,0.083,0.627,3.185,19.442,-14.997
37465040,-0.859,0.097,0.596,3.64,17.255,-12.687
37465050,-0.812,0.103,0.579,6.685,16.117,-11.672
37465060,-0.83,0.099,0.552,5.267,14.91,-4.147
37465070,-0.839,0.093,0.538,2.24,12.215,0.437
37465080,-0.839,0.087,0.522,0.7,10.325,-0.192
37465080,-0.812,0.074,0.515,1.032,9.275,-2.905
37465100,-0.79,0.059,0.53,2.292,10.062,-6.037
37465100,-0.781,0.052,0.533,2.695,12.932,-9.1
37465120,-0.801,0.057,0.564,3.307,16.1,-11.252
37465120,-0.848,0.066,0.59,3.255,18.497,-11.147
37465140,-0.898,0.079,0.596,3.605,19.88,-9.52
37465140,-0.921,0.095,0.595,4.322,17.85,-7.717
37465160,-0.92,0.101,0.576,4.375,14.7,-5.635
37465160,-0.907,0.101,0.56,4.095,11.76,-3.482
37465170,-0.901,0.103,0.541,2.8,6.282,-2.065
37465180,-0.892,0.104,0.53,1.207,0.945,-1.277
37465190,-0.871,0.101,0.526,-0.472,-2.59,-1.33
37465200,-0.855,0.098,0.535,-1.225,-6.002,-2.345
37465210,-0.838,0.09,0.545,-1.96,-8.382,-4.41
37465220,-0.835,0.079,0.547,-2.345,-7.402,-6.72
37465230,-0.839,0.068,0.546,-1.907,-4.567,-8.242
37465240,-0.848,0.065,0.546,-0.175,-2.45,-9.205
37465250,-0.843,0.065,0.546,1.155,-1.732,-9.135
37465260,-0.849,0.055,0.543,1.155,0.07,-8.487
37465270,-0.851,0.053,0.529,1.575,-0.297,-7.647
37465280,-0.869,0.057,0.544,3.15,0.332,-4.672
37465290,-0.869,0.055,0.523,0.735,-1.12,-3.797
37465300,-0.873,0.048,0.523,0.332,-2.94,-5.145
37465310,-0.887,0.05,0.53,2.047,-5.81,-6.44
37465320,-0.887,0.055,0.532,2.975,-8.837,-6.86
37465330,-0.872,0.054,0.547,2.66,-9.537,-5.88
37465340,-0.869,0.056,0.547,1.382,-10.902,-4.165
37465350,-0.871,0.059,0.543,0.647,-11.97,-2.905
37465360,-0.87,0.059,0.542,0.42,-13.212,-2.922
37465370,-0.854,0.064,0.542,1.085,-14.997,-3.657
37465380,-0.834,0.067,0.557,1.417,-15.907,-3.815
37465390,-0.822,0.068,0.564,0.402,-15.96,-3.622
37465400,-0.825,0.064,0.564,-0.297,-15.015,-3.255
37465410,-0.831,0.064,0.563,-0.07,-14.122,-2.94
37465420,-0.838,0.065,0.568,0.262,-13.58,-2.922
37465430,-0.842,0.065,0.573,-0.052,-13.685,-2.817
37465440,-0.839,0.066,0.571,-0.507,-13.615,-2.1
37465450,-0.837,0.065,0.573,-0.997,-13.86,-1.312
37465460,-0.841,0.065,0.577,-1.452,-14.892,-1.207
37465470,-0.848,0.061,0.568,-1.452,-16.17,-1.137
37465480,-0.856,0.06,0.572,-1.05,-18.13,-0.875
37465490,-0.867,0.065,0.575,-1.277,-21.175,-0.787
37465500,-0.879,0.067,0.577,-1.907,-25.41,-0.717
37465510,-0.891,0.065,0.568,-2.59,-31.185,-0.577
37465510,-0.892,0.061,0.567,-3.325,-37.747,-0.42
37465530,-0.869,0.055,0.565,-4.147,-43.47,-0.017
37465530,-0.803,0.042,0.595,-3.762,-43.277,2.415
37465550,-0.73,0.04,0.612,-4.76,-38.22,4.305
37465550,-0.689,0.044,0.607,-4.725,-30.73,4.602
37465570,-0.7,0.039,0.62,-2.502,-21.542,4.83
37465570,-0.74,0.047,0.625,0.297,-13.037,4.025
37465580,-0.781,0.061,0.617,1.767,-6.37,2.782
37465590,-0.826,0.063,0.613,1.4,-3.657,0.77
37465600,-0.855,0.064,0.611,0.63,-4.48,-2.082
37465610,-0.861,0.063,0.609,0.192,-6.02,-4.392
37465620,-0.842,0.065,0.598,0.21,-10.01,-5.425
37465630,-0.814,0.059,0.602,-0.227,-12.617,-4.637
37465640,-0.791,0.057,0.608,-1.085,-13.982,-2.852
37465650,-0.78,0.053,0.615,-1.487,-14.035,-0.84
37465660,-0.78,0.049,0.618,-1.05,-13.107,1.295
37465670,-0.768,0.052,0.621,-0.595,-10.99,3.482
37465680,-0.754,0.052,0.618,-0.49,-7,3.937
37465690,-0.74,0.048,0.621,-0.315,-0.98,3.815
37465700,-0.741,0.049,0.62,0.262,5.425,2.432
37465710,-0.745,0.052,0.62,1.295,12.617,0.035
37465720,-0.763,0.052,0.626,2.502,18.077,-2.922
37465730,-0.788,0.055,0.623,3.08,20.352,-6.212
37465740,-0.798,0.079,0.617,3.097,21.14,-8.855
37465750,-0.815,0.08,0.623,2.187,21.14,-9.87
37465760,-0.837,0.068,0.594,1.557,18.742,-10.797
37465770,-0.913,0.064,0.597,5.04,13.632,-5.512
37465780,-0.93,0.082,0.592,2.345,5.477,4.672
37465790,-0.893,0.077,0.577,-6.037,-5.845,5.74
37465800,-0.839,0.05,0.574,-6.895,-14.14,3.045
37465810,-0.792,0.031,0.592,-2.712,-15.802,1.435
37465820,-0.785,0.046,0.612,0.105,-14.892,1.61
37465830,-0.791,0.056,0.602,-2.03,-14.717,1.942
37465830,-0.819,0.055,0.618,-3.465,-16.345,3.062
37465850,-0.84,0.056,0.61,-3.64,-20.615,3.92
37465850,-0.851,0.058,0.609,-3.342,-24.185,4.672
37465870,-0.86,0.06,0.604,-4.795,-29.26,4.9
37465870,-0.85,0.055,0.604,-6.685,-34.527,5.057
37465890,-0.817,0.05,0.61,-7.525,-37.345,6.02
37465890,-0.77,0.049,0.622,-7.21,-36.557,6.965
37465910,-0.737,0.047,0.634,-6.335,-33.267,7.122
37465910,-0.729,0.05,0.639,-5.215,-27.947,6.982
37465920,-0.742,0.054,0.634,-3.92,-22.715,6.65
37465930,-0.762,0.059,0.631,-2.905,-18.777,5.302
37465940,-0.773,0.061,0.632,-2.537,-16.152,3.185
37465950,-0.78,0.06,0.636,-2.135,-15.12,0.84
37465960,-0.786,0.053,0.636,-1.522,-14.595,-1.172
37465970,-0.792,0.049,0.636,-1.172,-14.455,-2.52
37465980,-0.792,0.051,0.637,-1.295,-14.822,-2.66
37465990,-0.785,0.052,0.638,-1.47,-15.452,-1.645
37466000,-0.777,0.054,0.641,-1.33,-15.662,-0.367
37466010,-0.771,0.054,0.645,-1.032,-15.522,0.77
