#Format version: 1.0
time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3,
39135740,-0.298,1.492,0.623,7.087,61.635,-105.647,
39135750,-0.421,1.926,0.83,35.892,44.73,-49.752,
39135760,-0.442,1.997,0.942,83.055,14.087,0.14,
39135770,0.132,1.997,0.911,151.532,-27.37,59.605,
39135780,0.468,1.829,0.803,208.32,-73.99,103.74,
39135790,0.183,0.145,1.288,206.01,-101.85,58.607,
39135800,-1.104,-1.101,1.461,175.472,-112.91,-26.442,
39135800,-0.367,-1.204,1.519,211.872,-109.165,-18.06,
39135820,0.198,0.236,1.065,216.265,-86.082,26.057,
39135820,-0.259,0.712,0.927,213.745,-80.657,10.167,
39135830,0.201,0.285,1.398,168.49,-63.262,16.887,
39135840,0.445,-0.039,1.457,126.49,-29.085,8.452,
39135850,-0.028,0.583,1.122,118.352,-2.59,-15.557,
39135860,-0.065,0.837,0.804,90.842,4.497,-7.752,
39135870,-0.226,0.448,0.914,34.44,-2.187,-10.482,
39135880,-0.32,0.292,0.967,11.637,-15.82,-14.227,
39135890,-0.144,0.251,0.94,11.585,-28.63,-9.625,
39135900,-0.016,0.189,0.97,1.75,-32.025,-8.715,
39135910,-0.053,0.17,0.988,-0.28,-27.965,-7.07,
39135920,-0.022,0.178,0.985,0.367,-23.537,-1.19,
39135930,0.028,0.176,0.988,0.787,-17.902,2.485,
39135940,-0.031,0.222,0.962,2.415,-13.037,3.465,
39135950,-0.116,0.242,0.96,-1.89,-11.27,3.762,
39135960,-0.082,0.217,0.969,-6.002,-14.385,3.815,
39135970,-0.049,0.197,0.974,-9.415,-16.082,2.94,
39135980,-0.036,0.165,0.99,-11.392,-16.975,0.735,
39135990,-0.048,0.174,0.988,-10.185,-16.59,-0.98,
39136000,-0.065,0.187,0.98,-8.645,-17.57,-2.52,
39136010,-0.042,0.2,0.97,-8.242,-18.34,-2.642,
39136020,-0.036,0.214,0.963,-7.28,-18.602,-1.872,
39136030,-0.022,0.209,0.961,-6.58,-17.36,0.455,
39136040,-0.01,0.183,0.978,-6.562,-15.382,2.887,
39136050,-0.014,0.156,0.994,-6.632,-12.442,3.972,
39136060,0.015,0.15,0.982,-5.582,-9.59,4.025,
39136070,0.067,0.176,0.95,-2.52,-5.425,4.287,
39136080,0.031,0.197,0.941,0.245,-1.102,3.412,
39136090,-0.004,0.191,0.951,1.487,1.05,1.855,
39136100,0.002,0.183,0.959,2.03,2.222,1.207,
39136110,-0.004,0.174,0.971,2.327,3.325,0.052,
39136120,-0.013,0.171,0.978,2.625,4.847,-1.137,
39136130,-0.038,0.178,0.979,3.797,6.352,-1.19,
39136140,-0.061,0.179,0.986,4.427,7.297,-0.507,
39136150,-0.049,0.177,0.98,5.005,6.72,-0.087,
39136160,-0.032,0.187,0.973,5.617,7.087,0.752,
39136170,-0.051,0.184,0.979,5.652,7.21,0.682,
39136170,-0.079,0.179,0.988,5.442,7.14,0.245,
39136190,-0.087,0.195,0.971,5.967,5.74,-0.227,
39136190,-0.079,0.219,0.949,6.23,4.795,0.525,
39136210,-0.051,0.234,0.924,5.512,3.202,1.54,
39136210,-0.039,0.261,0.915,5.897,3.132,4.795,
39136230,-0.073,0.229,0.946,2.642,2.782,7.735,
39136230,-0.047,0.251,0.944,0.595,2.59,12.092,
39136250,-0.063,0.258,0.955,-1.33,1.26,16.502,
39136250,-0.08,0.256,0.98,-7.122,-0.455,18.672,
39136260,-0.04,0.253,0.992,-12.635,-3.255,20.667,
39136270,-0.035,0.276,0.996,-19.04,-4.182,21.122,
39136280,0.066,0.223,0.994,-28.507,-4.042,20.807,
39136290,0.111,0.259,0.995,-35.822,2.292,21.017,
39136300,0.127,0.248,1.079,-42.455,10.115,20.877,
39136310,0.052,0.518,1.133,-60.795,19.915,19.372,
39136320,0,0.441,1.303,-92.82,26.652,13.965,
39136330,0.084,0.462,1.677,-155.487,37.275,-0.857,
39136340,-0.113,1.093,1.481,-237.947,75.18,-5.46,
39136350,0.024,0.885,1.327,-313.547,84.315,-16.835,
39136360,0.088,0.553,1.212,-388.57,87.185,-23.1,
39136370,0.042,0.291,1.216,-425.617,101.5,-32.69,
39136380,0.143,-0.01,1.203,-432.932,120.155,-41.755,
39136390,-0.085,-0.291,1.27,-425.967,140.21,-55.3,
39136400,-0.294,-0.436,1.223,-409.535,114.87,-76.3,
39136410,0.34,-0.607,1.23,-380.975,64.417,-67.357,
39136420,-0.733,0.24,1.005,-309.102,49.577,21.752,
39136430,0.257,-0.357,0.739,-126.787,31.622,47.652,
39136440,0.673,-0.605,0.652,-109.725,67.112,52.587,
39136450,0.151,0.07,0.798,-124.67,99.592,45.692,
39136460,0.039,1.033,1.132,-109.917,48.685,41.037,
39136470,0.379,-0.222,1.097,-66.185,-15.295,58.45,
39136480,0.919,-0.439,0.713,57.015,-65.992,35.087,
39136490,0.489,0.116,0.343,165.375,-64.102,0.997,
39136500,-0.267,0.165,0.048,180.267,-80.185,-38.36,
39136510,-0.554,0.041,-0.18,149.59,-112.385,-39.917,
39136510,-0.204,-0.04,-0.134,138.687,-119.017,-4.725,
39136530,-0.044,-0.114,0.159,126.245,-100.38,11.042,
39136530,-0.26,-0.357,0.6,90.562,-74.742,12.32,
39136550,-0.375,-0.653,0.945,64.277,-69.842,18.777,
39136550,-0.317,-0.731,0.949,78.382,-86.502,36.715,
39136570,-0.251,-0.552,0.733,114.712,-115.727,49.402,
39136570,-0.152,-0.386,0.342,134.172,-141.452,55.597,
39136580,0,-0.226,0.022,152.04,-146.422,58.152,
39136590,-0.069,-0.079,-0.038,152.967,-128.45,45.43,
39136600,-0.225,-0.078,0.46,122.43,-108.22,21.017,
39136610,-1.935,-1.485,1.998,77.332,-97.982,-32.095,
39136620,-0.003,-1.998,0.109,196.805,-83.23,-170.94,
39136630,0.498,-0.905,0.543,498.54,0.787,-10.937,
39136640,-1.431,1.9,0.414,546.612,-59.727,-70.21,
39136650,1.255,1.657,1.377,484.68,-58.625,-23.782,
39136660,1.759,-1.197,1.998,369.075,80.045,-3.85,
39136670,-1.812,1.867,0.106,262.955,168.507,-57.82,
39136680,-0.042,0.568,0.334,133.227,11.987,22.557,
