time[ms],accX[g],accY[g],accZ[g],Value 1,Value 2,Value 3
64871830,0.028,-0.263,1.182,-56.332,10.815,20.982
64871830,-0.025,-0.212,1.315,-70.752,10.185,23.467
64871850,-0.081,-0.335,1.254,-91.962,13.807,22.085
64871850,-0.201,-0.45,1.198,-117.407,19.302,9.117
64871870,-0.061,-0.55,1.146,-128.135,40.075,-5.337
64871870,0.249,-0.849,0.97,-141.225,65.905,-22.802
64871890,0.382,-1.173,0.828,-138.355,100.765,-26.32
64871890,0.26,-1.328,0.821,-108.22,126.332,-23.205
64871910,0.109,-1.529,0.492,-63.805,129.045,-21.262
64871910,-0.478,-1.998,-0.082,-48.107,93.362,-2.887
64871920,0.041,-1.998,-0.348,5.355,56.28,-50.207
64871930,0.456,-1.622,-0.249,50.365,41.825,-91.385
64871940,0.087,-1.311,-0.115,37.992,33.897,-99.837
64871950,-0.272,-0.815,-0.325,15.085,14.42,-100.012
64871960,-0.25,0.088,-0.239,-2.887,21.14,-66.272
64871970,-0.455,0.788,-0.314,-30.485,38.062,8.522
64871980,-0.378,1.427,-0.87,-29.89,67.532,88.515
64871990,-0.676,1.996,-0.588,-49.542,133.07,204.47
64872000,-0.521,1.992,0.05,-82.74,175.192,308.875
64872010,0.431,-0.696,1.998,-108.342,76.667,293.387
64872020,1.717,-1.869,-0.664,82.285,-223.527,86.677
64872030,-1.975,-1.369,1.072,342.125,-294.787,49.997
64872040,-0.324,-0.611,1.77,336.07,-183.19,86.607
64872050,-1.46,0.514,1.998,338.187,-233.397,27.457
64872060,1.817,1.728,1.552,184.065,-193.97,-54.04
64872070,0.649,0.371,1.336,7.455,-44.047,-17.745
64872080,0.853,-0.753,0.846,-82.267,24.307,-0.035
64872090,-0.229,-0.466,0.928,-58.205,45.395,5.425
64872100,-0.121,-0.574,0.865,-61.967,37.572,4.97
64872110,-0.288,-0.604,0.879,-46.427,28.717,-2.31
64872120,0.047,-0.316,1.015,-36.732,21.612,-11.532
64872130,0.064,-0.238,0.949,-46.007,22.05,-12.39
64872140,-0.258,-0.664,0.661,-46.672,19.355,-8.4
64872150,-0.33,-0.79,0.662,-17.465,6.72,-10.727
64872160,-0.158,-0.45,0.904,13.247,-8.225,-16.852
64872170,0.085,-0.303,0.989,16.642,-16.065,-18.06
64872180,0.096,-0.26,1.002,7.752,-13.737,-14.332
64872190,0.194,-0.296,0.977,-2.712,-7.84,-11.655
64872200,0.144,-0.373,0.923,-10.097,0.735,-6.492
64872210,0.069,-0.363,0.921,-10.15,7.28,-3.797
64872220,0.012,-0.347,0.948,-10.132,10.185,-4.76
64872230,0.057,-0.32,0.963,-12.967,11.515,-6.527
64872240,0.068,-0.365,0.925,-18.007,13.93,-6.895
64872250,-0.033,-0.468,0.856,-19.53,15.12,-4.9
64872260,-0.128,-0.506,0.845,-13.422,11.2,-3.85
64872260,-0.099,-0.454,0.873,-5.005,3.937,-4.847
64872280,-0.077,-0.435,0.887,0.997,-2.415,-6.422
64872280,-0.022,-0.422,0.9,5.092,-6.825,-8.172
64872300,0.012,-0.393,0.924,7.525,-8.732,-8.4
64872300,0.015,-0.356,0.96,7.577,-9.135,-7.665
64872320,0.014,-0.345,0.969,4.97,-9.03,-7.455
64872320,0.03,-0.351,0.972,1.522,-8.592,-7.717
64872330,0.039,-0.324,1.015,-3.745,-8.05,-7.227
64872340,0.036,-0.255,1.083,-13.212,-6.142,-6.755
64872350,-0.01,-0.244,1.133,-28.437,-3.097,-7.105
64872360,-0.112,-0.332,1.21,-50.54,6.877,-11.48
64872370,-0.313,-0.43,1.245,-73.535,8.557,-22.155
64872380,-0.218,-0.42,1.262,-92.12,12.512,-38.99
64872390,-0.196,-0.402,1.309,-120.295,19.355,-58.66
64872400,-0.162,-0.597,1.219,-152.232,26.985,-80.517
64872410,0.126,-0.768,0.771,-170.415,50.4,-109.707
64872420,-0.501,-1.518,1.028,-181.772,104.142,-120.295
64872430,-0.672,-1.349,0.905,-150.045,143.727,-143.692
64872440,-0.314,-1.186,0.645,-116.795,187.967,-145.74
64872450,-1.393,-0.735,1.123,-67.865,219.485,-123.76
64872460,-0.678,-1.405,0.129,-41.475,195.72,-112.63
64872470,-1.807,-1.853,-0.268,-16.922,169.557,12.442
64872480,-1.431,-0.37,0.294,52.517,189.892,149.555
64872490,1.632,0.426,-0.409,114.397,156.065,189.28
64872500,1.97,0.563,-0.521,10.675,132.457,185.465
64872510,1.147,0.415,-0.7,6.002,80.902,147.105
64872520,0.929,1.057,-0.457,8.925,24.57,63.332
64872530,0.375,0.608,-0.614,-27.79,-20.685,89.687
64872540,0.104,0.03,-0.639,-54.355,-57.137,143.5
64872550,-1.143,-1.346,1.325,-74.042,-181.317,164.535
64872560,1.993,-1.99,-0.518,79.73,-342.475,47.687
64872570,-1.192,1.285,1.803,499.45,-200.252,75.162
64872580,-0.891,-1.336,1.998,351.54,-299.915,21.665
64872580,1.071,1.477,1.131,273.105,-236.127,-51.66
64872600,0.032,0.545,1.496,65.485,-45.815,0.63
64872600,0.658,-1.043,0.65,-95.515,6.072,0.315
64872620,-0.245,0.315,1.125,-11.952,43.715,-1.995
64872620,0.188,-0.771,0.842,-53.935,33.81,-2.73
64872640,-0.282,-0.496,0.908,-28.052,38.167,-3.465
64872640,0.012,-0.408,0.933,-20.947,30.625,-6.632
64872660,-0.061,-0.444,0.904,-16.695,27.667,-6.702
64872660,-0.059,-0.329,0.945,-13.37,25.532,-3.465
64872670,-0.345,-0.575,0.837,-14.577,18.27,-1.207
64872680,-0.183,-0.368,0.916,-3.692,4.707,-5.092
64872690,-0.058,-0.427,0.899,1.575,-5.092,-6.982
64872700,0.095,-0.393,0.918,8.68,-7.192,-6.335
64872710,0.03,-0.32,0.947,9.73,-4.655,-1.26
64872720,-0.002,-0.256,0.977,7.735,-1.522,-0.892
64872730,0.014,-0.345,0.928,0.962,-0.087,-3.517
64872740,0.11,-0.287,0.958,-1.662,1.627,-4.042
64872750,0.253,-0.253,0.974,-7.98,7.962,-1.732
64872760,-0.154,-0.44,0.897,-15.312,16.467,2.397
64872770,-0.323,-0.415,0.886,-10.43,10.85,-3.902
64872780,0.084,-0.367,0.917,-4.13,0.647,-10.43
64872790,0.031,-0.375,0.909,-2.73,1.155,-5.81
64872800,-0.072,-0.391,0.907,0.35,1.645,-2.432
64872810,-0.006,-0.341,0.935,3.797,-1.155,-3.71
64872820,0.074,-0.348,0.935,3.045,-1.505,-3.045
64872830,0.042,-0.35,0.937,2.415,0.98,-0.752
64872840,0.013,-0.326,0.948,1.61,2.782,0.91
64872850,0.023,-0.322,0.949,-1.295,3.36,1.4
64872860,0.019,-0.348,0.939,-4.042,3.762,1.68
64872870,0.018,-0.311,0.962,-5.46,4.427,2.502
64872880,0.013,-0.298,0.975,-8.942,5.25,4.112
64872890,0.025,-0.307,0.991,-14.227,6.265,5.775
64872900,0.051,-0.281,1.023,-21.437,8.067,8.225
64872910,0.088,-0.226,1.082,-32.83,11.532,11.987
64872920,0.088,-0.185,1.176,-51.467,18.077,16.45
64872930,0.202,-0.193,1.264,-78.435,32.375,20.737
64872940,0.536,-0.411,1.124,-106.715,65.38,27.282
64872950,0.682,-0.533,1.153,-114.695,101.237,43.295
64872960,0.947,-0.298,1.235,-121.135,146.16,63.612
64872970,1.153,-0.298,1.351,-131.092,199.447,87.815
64872980,1.159,-0.592,1.192,-140.017,239.785,123.76
64872990,0.636,-1.053,0.874,-136.745,269.622,179.83
